Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	rtr-az-1	1	internal://	InInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	OutInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	InData	0	0	0	0
0.5	rtr-az-1	1	internal://	OutData	0	0	0	0
0.5	rtr-az-1	1	internal://	InNacks	0	0	0	0
0.5	rtr-az-1	1	internal://	OutNacks	0	0	0	0
0.5	rtr-az-1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	rtr-az-1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutInterests	22.4	0.940625	14	0.587891
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InNacks	14.4	0.604688	9	0.37793
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InInterests	14.4	0.604688	9	0.37793
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InData	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutNacks	12.8	0.5375	8	0.335938
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	258	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InInterests	14.4	0.604688	9	0.37793
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InData	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutData	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InNacks	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutNacks	12.8	0.5375	8	0.335938
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	InTimedOutInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutSatisfiedInterests	0	0	0	0
0.5	rtr-az-1	259	netdev://[00:00:00:00:00:07]	OutTimedOutInterests	0	0	0	0
0.5	rtr-az-1	260	internal://	InInterests	0	0	0	0
0.5	rtr-az-1	260	internal://	OutInterests	0	0	0	0
0.5	rtr-az-1	260	internal://	InData	0	0	0	0
0.5	rtr-az-1	260	internal://	OutData	0	0	0	0
0.5	rtr-az-1	260	internal://	InNacks	0	0	0	0
0.5	rtr-az-1	260	internal://	OutNacks	0	0	0	0
0.5	rtr-az-1	260	internal://	InSatisfiedInterests	3.2	0	2	0
